Class_Desc,SubClass_Desc
25XX01 HAND TOOLS,25XX0104 TAPES
25XX01 HAND TOOLS,25XX0110 FILES
25XX01 HAND TOOLS,25XX0108 PLIERS
25XX01 HAND TOOLS,25XX0114 LEVELS
25XX01 HAND TOOLS,25XX0117 LASERS
25XX01 HAND TOOLS,25XX0102 HAMMERS
25XX01 HAND TOOLS,25XX0106 CUTTING
25XX01 HAND TOOLS,25XX0116 MARKING
29XX03 FAUCETS,29XX0302 Kitchens
25XX01 HAND TOOLS,25XX0105 MHT & HEX
25XX01 HAND TOOLS,25XX0118 TOOL SETS
29XX03 FAUCETS,29XX0303 BATH/LAVS
29XX09 BATH ACCESSOR,29XX0904 BATHWARES
29XX09 BATH ACCESSOR,29XX0962 BATHWARES
25XX01 HAND TOOLS,25XX0113 DEMOLITION
29XX03 FAUCETS,29XX0308 TWO HANDLE
29XX03 FAUCETS,29XX0310 Two Handle
29XX03 FAUCETS,29XX0345 8 BATH FAU
29XX03 FAUCETS,29XX0346 BAR FAUCET
29XX03 FAUCETS,29XX0350 TUB SHOWER
25XX01 HAND TOOLS,25XX0107 SCREWDRIVER
25XX01 HAND TOOLS,25XX0112 REPLACEMENT
25XX01 HAND TOOLS,25XX0115 STUD SENSOR
25XX01 HAND TOOLS,25XX0160 S/O HAND TO
29XX03 FAUCETS,29XX0304 TUB & SHOWE
29XX03 FAUCETS,29XX0305 FIXED SHOWE
29XX03 FAUCETS,29XX0306 HANDSHOWERS
29XX03 FAUCETS,29XX0307 SHOWER PANE
29XX03 FAUCETS,29XX0309 PULLOUT KIT
29XX03 FAUCETS,29XX0341 1 HNDL KITC
29XX03 FAUCETS,29XX0342 1 HDL KITCH
29XX03 FAUCETS,29XX0349 PULLDWN KIT
29XX03 FAUCETS,29XX0360 S/O FAUCETS
29XX09 BATH ACCESSOR,29XX0902 BATH HARDWA
29XX09 BATH ACCESSOR,29XX0903 ADA/COMMERC
29XX09 BATH ACCESSOR,29XX0960 S/O BATH HA
